date_time,file,committer_name,committer_email,comment_url/issue_url,month
2025-02-04T17:37:11Z,Update Readme to clarify support status?,brucearctor,,https://github.com/apache/hunter/issues/30,02
2025-02-04T17:44:31Z,Update Readme to clarify support status?,brucearctor,,https://github.com/apache/hunter/issues/comments/IC_kwDOF9FF7c6dCapi,02
2025-02-04T18:26:11Z,Update Readme to clarify support status?,brucearctor,,https://github.com/apache/hunter/issues/comments/IC_kwDOF9FF7c6dCw3h,02
